"","param","infection","Ro","cilow","cihigh"
"1","gamma","TB",0.251028986062056,0.0727398211003778,0.438767624876051
"2","betaB","TB",-0.549632230468589,-0.695935539439808,-0.431517474353533
"3","betaT","TB",0.252494054288044,0.0655951692658805,0.446149429113341
"4","epsilon","TB",-0.0401962883825622,-0.23185267694535,0.16415726910945
"5","rhoT","TB",0.0231969015176965,-0.178198684867794,0.241729195730864
"6","rhoB","TB",-0.11193443084561,-0.301715810556624,0.0708988128408079
"7","theta","TB",-0.122711557968644,-0.334874895647222,0.0774941606786996
"8","K","TB",0.303718796489715,0.101480344355752,0.525464978928252
"9","pchange_muB","TB",0.0376571904277132,-0.179180874450722,0.247212781930742
"10","pchange_muT","TB",-0.284516903670375,-0.498805206972887,-0.0982552638628715
"11","pchange_muC","TB",0.00377508365400244,-0.193396838337033,0.208953054465205
"12","pchange_muR","TB",-0.109923435201788,-0.320364348924455,0.0958025705997418
"13","pchange_muRC","TB",-0.0623194184559369,-0.25224661280266,0.119092171767628
"14","gamma","brucellosis",-0.428137433272549,-0.606557635305837,-0.270963207374227
"15","betaB","brucellosis",0.725127489551631,0.635739644270193,0.833570537226437
"16","betaT","brucellosis",0.208114175639733,0.0344632765524504,0.39386144807312
"17","epsilon","brucellosis",0.00257459594179496,-0.181022585387115,0.172055121441453
"18","rhoT","brucellosis",-0.00960525616169267,-0.185871049663107,0.156772847945366
"19","rhoB","brucellosis",0.49871647189506,0.341839452511478,0.666331012304529
"20","theta","brucellosis",-0.00100966423001727,-0.177203351733497,0.167074265329025
"21","K","brucellosis",0.239523117944765,0.0596593420471462,0.416323467930012
"22","pchange_muB","brucellosis",-0.0456974846770399,-0.228096697976476,0.125178304718078
"23","pchange_muT","brucellosis",-0.177380256131527,-0.360732098814483,-0.0116210700246259
"24","pchange_muC","brucellosis",-0.228174973325951,-0.420880981229029,-0.0550740641095597
"25","pchange_muR","brucellosis",0.0628876036279279,-0.120979597985985,0.246580324208444
"26","pchange_muRC","brucellosis",-0.0626864088116048,-0.237552579415874,0.112437416997955
