"","rhoT","mort","bTBprev","brucprev","finalN","bTB_inS","bTB_inB","bruc_inS","bruc_inTB"
"1",0,0,0.826080826584744,0.743843247370942,NA,0.576949854891219,0.911873876281559,0.376910841730051,0.82109547092414
"2",0.08,0,0.848707326229341,0.750612933300211,NA,0.58834086743991,0.935212666790183,0.321431362202218,0.827119905041564
"3",0.16,0,0.86301316694914,0.755148918845611,NA,0.595580760585211,0.949726015500957,0.27713864314549,0.831023907016895
"4",0.24,0,0.872587575070017,0.758369301690483,NA,0.600449662007417,0.959295823707233,0.242274627203708,0.833727782430407
"5",0.32,0,0.879338455879097,0.76076917041224,NA,0.603891562393958,0.965955252929528,0.214651603991953,0.835706628674479
"6",0.4,0,0.884313708145038,0.762628610471314,NA,0.606428123165845,0.970806775059663,0.192447940152999,0.837219885975645
"7",0.48,0,0.888116531501879,0.76411477581555,NA,0.608362484318287,0.974477701610096,0.174306048733435,0.838417914869627
"8",0.56,0,0.891111317084891,0.765332571647651,NA,0.609879621149554,0.977343004198684,0.159246456089009,0.839392812597355
"9",0.64,0,0.893528337032334,0.766350845244842,NA,0.611097504486682,0.979637363610108,0.146564101413035,0.840203819533557
"10",0.72,0,0.895519105055342,0.767216566297579,NA,0.612094352401161,0.981513842418077,0.135746218019582,0.840890692004838
"11",0.8,0,0.897186917761375,0.767962865961075,NA,0.612923806971814,0.983075963266268,0.126414182618332,0.841481099714615
"12",0.88,0,0.89860441496951,0.768613793797093,NA,0.613623748847553,0.984395999387191,0.118283750774918,0.841994910200104
"13",0.96,0,0.89982407443281,0.769187243836967,NA,0.61422161698424,0.985525821177601,0.111138016965331,0.842446775609544
"14",1.04,0,0.90088471003893,0.769696818151056,NA,0.614737732378385,0.986503563953367,0.104808893618261,0.842847753778362
"15",1.12,0,0.901815626284302,0.770153051008701,NA,0.61518743976793,0.987357862440363,0.0991642605066545,0.843206358409396
"16",1.2,0,0.902639352013763,0.770564235313146,NA,0.615582526536645,0.988110620006312,0.0940989115487301,0.843529259622123
"17",1.28,0,0.903373486497497,0.770936994594642,NA,0.615932186426879,0.988778867914456,0.0895280760156465,0.843821763802423
"18",1.36,0,0.904031975168112,0.771276687620648,NA,0.616243688404444,0.989376043346327,0.0853827106645558,0.844088150069556
"19",1.44,0,0.904626009322322,0.771587699335632,NA,0.616522849800507,0.989912886694413,0.0816060279442377,0.844331910553203
"20",1.52,0,0.905164673843138,0.771873655858421,NA,0.616774378464253,0.990398083833701,0.078150900459483,0.844555926468217
"21",1.6,0,0.905655419504489,0.77213758272628,NA,0.617002121728044,0.990838733536604,0.0749778959703379,0.844762597460204
"22",1.68,0,0.906104415610579,0.772382027626311,NA,0.617209254058836,0.991240693448457,0.0720537712063454,0.844953940717217
"23",1.76,0,0.906516812691919,0.772609150101538,NA,0.617398414672516,0.991608839156107,0.0693503060245474,0.845131664109512
"24",1.84,0,0.906896945481663,0.772820795218689,NA,0.617571816029135,0.991947261465558,0.0668433901559014,0.845297225048724
"25",1.92,0,0.907248488207985,0.773018549325606,NA,0.617731325738374,0.992259417880782,0.0645123022269552,0.84545187535108
"26",2,0,0.907574575583446,0.773203783996981,NA,0.617878530257276,0.992548250351793,0.0623391351650658,0.845596696533978
"27",2.08,0,0.907877899045558,0.773377692646003,NA,0.618014786307133,0.992816277861278,0.0603083342074719,0.845732628804987
"28",2.16,0,0.90816078149416,0.773541317397642,NA,0.61814125916214,0.993065669544907,0.0584063236030459,0.845860492916561
"29",2.24,0,0.90842523914214,0.773695573814198,NA,0.618258956127044,0.993298303430819,0.056621201344653,0.845981009474495
"30",2.32,0,0.908673030900049,0.773841270251889,NA,0.618368752718645,0.993515813674581,0.0549424888624184,0.846094814223494
"31",2.4,0,0.908905696781732,0.773979121216451,NA,0.618471411185753,0.99371962865641,0.0533609251258867,0.846202469240024
"32",2.48,0,0.909124593386302,0.774109764299607,NA,0.61856760178764,0.993911002683183,0.0518682936713437,0.846304475337118
"33",2.56,0,0.909330916955388,0.774233765290213,NA,0.618657910702432,0.994091041216962,0.0504572810699466,0.846401277611499
"34",2.64,0,0.909525730883399,0.774351634583463,NA,0.618742859682383,0.994260722904087,0.0491213539931461,0.846493276485014
"35",2.72,0,0.909709979177608,0.774463827272325,NA,0.618822907514508,0.994420916639879,0.0478546600432187,0.846580829768181
"36",2.8,0,0.909884506042812,0.774570755314412,NA,0.618898464209791,0.994572396948066,0.0466519397594415,0.846664260796502
"37",2.88,0,0.91005006744744,0.774672790650714,NA,0.6189698952253,0.994715856275044,0.0455084539748703,0.846743861517935
"38",2.96,0,0.910207342167958,0.774770269695184,NA,0.619037526969681,0.99485191555332,0.0444199210878512,0.846819896095483
"39",3.04,0,0.91035694284372,0.774863499529057,NA,0.619101654243273,0.994981133374069,0.0433824624104348,0.846892605183295
"40",3.12,0,0.910499421646261,0.774952758058575,NA,0.619162540091835,0.995104013329879,0.0423925570450755,0.846962207060852
"41",3.2,0,0.91063527944874,0.775038299855155,NA,0.619220423351802,0.99522101087296,0.0414470003956708,0.847028901311666
