"","param","infection","Ro","cilow","cihigh"
"1","gamma","TB",0.251028986062056,-0.0147887682862137,0.493508630543313
"2","betaB","TB",-0.549632230468589,-0.80225277372794,-0.363934844366036
"3","betaT","TB",0.252494054288044,-0.0127866988017034,0.547059521472143
"4","epsilon","TB",-0.0401962883825622,-0.339683155295965,0.24486566590906
"5","rhoT","TB",0.0231969015176965,-0.302712726788757,0.31796844406634
"6","rhoB","TB",-0.11193443084561,-0.388938595278448,0.154348781542409
"7","theta","TB",-0.122711557968644,-0.4710358475499,0.143324497207906
"8","K","TB",0.303718796489715,0.00717444766752684,0.568151129690777
"9","pchange_muB","TB",0.0376571904277132,-0.309062758413111,0.331887714124362
"10","pchange_muT","TB",-0.284516903670375,-0.632151259073022,-0.0039907949684177
"11","pchange_muC","TB",0.00377508365400244,-0.275528530452621,0.270624764076885
"12","pchange_muR","TB",-0.109923435201788,-0.422903949677298,0.187118991204619
"13","pchange_muRC","TB",-0.0623194184559369,-0.377997909498893,0.266099509703609
"14","gamma","brucellosis",-0.428137433272549,-0.706795420953027,-0.204184707371833
"15","betaB","brucellosis",0.725127489551631,0.598051689978118,0.933154364768099
"16","betaT","brucellosis",0.208114175639733,-0.0789643184886161,0.535486671911466
"17","epsilon","brucellosis",0.00257459594179496,-0.267949961429721,0.293532465712782
"18","rhoT","brucellosis",-0.00960525616169267,-0.250520575537431,0.291361734238223
"19","rhoB","brucellosis",0.49871647189506,0.278581882825078,0.757254189249037
"20","theta","brucellosis",-0.00100966423001727,-0.245039219361399,0.274098086840367
"21","K","brucellosis",0.239523117944765,-0.0389707006446458,0.582228387670505
"22","pchange_muB","brucellosis",-0.0456974846770399,-0.288051236893772,0.237104697235576
"23","pchange_muT","brucellosis",-0.177380256131527,-0.476837151802848,0.112353707831857
"24","pchange_muC","brucellosis",-0.228174973325951,-0.56104749729505,0.00290159503603848
"25","pchange_muR","brucellosis",0.0628876036279279,-0.236802509673233,0.3670515918242
"26","pchange_muRC","brucellosis",-0.0626864088116048,-0.352923042432004,0.201973373658229
