"","rhoB","mort","bTBprev","brucprev","finalN","bTB_inS","bTB_inB","bruc_inS","bruc_inTB"
"1",0,0,0.658551277861032,2.1898255884841e-11,409.193807300978,0.658551277855447,0.913566862061007,5.5432480744429e-12,3.03780762195176e-11
"2",0.08,0,0.658552048139859,3.25953344109855e-08,409.193589943727,0.658552040053154,0.906645983648356,8.91176931949154e-09,4.487485706387e-08
"3",0.16,0,0.658580171658832,6.20008150248807e-05,409.202966366987,0.658565258312019,0.899099948178964,1.8323146254721e-05,8.46441055695822e-05
"4",0.24,0,0.670233193517633,0.0266787339369843,413.359612329579,0.663934204669117,0.900039443523209,0.0080869906795176,0.0358262065782263
"5",0.32,0,0.707888986085738,0.11687966183345,429.089729038099,0.679835290861688,0.919857333909917,0.032066739235616,0.151877789082296
"6",0.4,0,0.739879935107215,0.200032266571071,445.426234279878,0.691155288023957,0.93473922534812,0.0501855198182428,0.252713983752211
"7",0.48,0,0.766241303134807,0.274342771594506,461.216861508128,0.69838218237943,0.945733772366559,0.0636876723415431,0.338607724799094
"8",0.56,0,0.787732390645364,0.339539713120291,475.885344832323,0.702308492319429,0.953895847273903,0.0737474306036002,0.411161869406778
"9",0.64,0,0.805251793464366,0.396171024737478,489.224054853484,0.70369570706645,0.960039760661012,0.0812900372706905,0.472324233061925
"10",0.72,0,0.819620715715229,0.445181753774382,501.231744067215,0.703171287853983,0.964748557977823,0.0870016689817506,0.524008784498678
"11",0.8,0,0.831513315089156,0.487616741165734,512.002348818456,0.701217684698766,0.968426784367689,0.091375935866369,0.567905653561725
"12",0.88,0,0.841457319346322,0.524465228784064,521.663439460589,0.698195559727152,0.971353343611724,0.0947642308975112,0.605427086882129
"13",0.96,0,0.849858029732893,0.556598661798447,530.346269575898,0.694372631821422,0.973721844428359,0.0974170393507281,0.637720956455609
"14",1.04,0,0.857025339671354,0.584757430675151,538.172889997866,0.689948369385184,0.975668501394905,0.0995143095712637,0.665708911576807
"15",1.12,0,0.863196948609578,0.609559384854499,545.251684913135,0.685072732498407,0.977290719025986,0.101186744011307,0.690128400561495
"16",1.2,0,0.868556480585492,0.631516029485775,551.676778849382,0.679859735417526,0.978659348345191,0.1025304530776,0.711570381087333
"17",1.28,0,0.873247068338154,0.651049883964964,557.529063086298,0.67439709270213,0.979826800215488,0.1036170067762,0.730510468016859
"18",1.36,0,0.877381376947607,0.668510345934696,562.877775510892,0.668753062683725,0.980832472572561,0.104500361138084,0.747333682673574
"19",1.44,0,0.881048971940621,0.684187225860855,567.782153657356,0.662981327611526,0.981706431043147,0.10522167315305,0.762353763589023
"20",1.52,0,0.884321749136427,0.69832190893114,572.292962071112,0.657124505674884,0.98247194294675,0.105812684492571,0.775828122897401
"21",1.6,0,0.887257960430776,0.711116403844585,576.453827365551,0.651216707281637,0.983147248994645,0.106298127438591,0.787969415135289
"22",1.68,0,0.889905221640261,0.722740618611508,580.302372457059,0.645285418145252,0.983746820750463,0.10669745650271,0.798954504925592
"23",1.76,0,0.892302779852472,0.733338194329879,583.871166862428,0.639352904437849,0.98428226632083,0.107026109118238,0.808931448150345
"24",1.84,0,0.894483237893398,0.743031183644386,587.18851712092,0.633437274232563,0.984762991654635,0.107296434424497,0.818024955975232
"25",1.92,0,0.896473877805524,0.751923810626401,590.279122253432,0.627553289186127,0.985196689779291,0.107518384684883,0.826340697186567
"26",2,0,0.898297686050457,0.760105503386094,593.164618064151,0.621712993025339,0.985589707235402,0.107700035627605,0.833968707905855
"27",2.08,0,0.899974154064471,0.767653349141707,595.864028892326,0.615926203296623,0.985947321663963,0.107847981570914,0.840986110694927
"28",2.16,0,0.901519908526103,0.774634090909066,598.394143633942,0.610200900040666,0.986273954279167,0.107967638835428,0.847459297054682
"29",2.24,0,0.902949212686074,0.781105760425577,600.76983140666,0.604543537957393,0.98657333449365,0.108063479551112,0.853445690885361
"30",2.32,0,0.904274365918734,0.787119017220636,603.004304129746,0.598959296271939,0.986848628084656,0.108139215127272,0.858995180621248
"31",2.4,0,0.905506027254865,0.792718255467773,605.109340025156,0.593452284755865,0.987102538609123,0.108197938944902,0.864151290904429
"32",2.48,0,0.906653476076358,0.797942519579756,607.095469942824,0.588025710217534,0.987337387488013,0.10824224092739,0.868952144822668
"33",2.56,0,0.907724826603318,0.802826268644212,608.972137886122,0.582682017050612,0.987555178589818,0.108274297071539,0.873431260081649
"34",2.64,0,0.908727202475159,0.807400014317685,610.747835442112,0.5774230016343,0.987757649845617,0.108295943128519,0.877618209794435
"35",2.72,0,0.909666882749299,0.811690858499475,612.43021911079,0.572249911651977,0.98794631572518,0.108308731447377,0.881539174800724
"36",2.8,0,0.910549421088867,0.815722945284318,614.026208251599,0.56716352575042,0.988122501250075,0.108313980533603,0.885217406494568
"37",2.88,0,0.911379747489277,0.819517845666203,615.542072228456,0.562164225654456,0.988287370722685,0.10831281158075,0.888673617320314
